#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_162	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3975	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae;g__;s__
OTU_163	8999	23	637	1	640	0	309	0	50	0	0	0	3	0	0	1	118	0	256	8	0	k__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Ceratopogonidae; g__Forcipomyia; s__Forcipomyia palustris
OTU_165	19	148	1050	1609	2580	2462	275	1575	107	5	9	124	1	1	0	0	59	7	267	1	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Poecilostomatoida; f__Oncaeidae; g__Oncaea; s__Oncaea venusta
OTU_166	12	164	40	728	2852	2	1228	450	228	0	0	0	0	0	0	1	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Thysanoessa; s__Thysanoessa gregaria
OTU_167	0	0	2723	0	0	0	0	0	0	0	1	0	0	0	0	0	79	0	764	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Eucalanus; s__Eucalanus californicus
OTU_168	1	2	0	13	14	45	14	44	215	293	639	3016	230	4	2	3	0	2	0	0	0	k__Eukaryota; p__unknown; c__Dinophyceae; o__Syndiniales; f__Syndiniaceae; g__Hematodinium;s__
OTU_169	0	0	0	0	0	0	0	0	0	0	4017	0	0	0	0	0	0	0	0	0	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Diphyidae; g__Eudoxoides; s__Eudoxoides spiralis
OTU_170	0	5	150	0	2	14	7	473	855	528	735	1556	290	4	10	132	0	15	53	146	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus jobei
OTU_174	54	13	36	7	3242	2	1322	0	189	0	0	0	0	0	1	0	11	0	7	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
OTU_176	0	0	0	0	0	0	0	0	181	479	172	1175	384	122	85	876	0	82	0	986	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida;f__;g__;s__
